sku;name;categoria;tipo;estilo;corte;cuello;composicion;price;special_price;link_producto;link_imagen;product_type;temporada;Talles-disponibles
X0031ARD21;AmboArduino|MadeinItaly;Sastreria;Sacos;Vestir;ClassicFit;;100%Lana;3449900;3449900;x0031ard21;https://burgues.com/media/catalog/product/x/0/x0031ard21-1.jpg;configurable;TEMPORADA;
X0031ARD10;AmboArduino|MadeinItaly;Sastreria;Sacos;Vestir;ClassicFit;;100%Lana;3449900;3449900;x0031ard10;https://burgues.com/media/catalog/product/x/0/x0031ard10-1.jpg;configurable;TEMPORADA;
X0031LAU21;AmboSmokingLaurent;Sastreria;Smoking;Vestir;SlimFit;;100%Lana;2499900;2499900;x0031lau21;https://burgues.com/media/catalog/product/x/0/x0031lau21-1.jpg;configurable;TEMPORADA;
X0031LAU10;AmboSmokingLaurent;Sastreria;Smoking;Vestir;SlimFit;;100%Lana;2499900;2499900;x0031lau10;https://burgues.com/media/catalog/product/x/0/x0031lau10-1.jpg;configurable;TEMPORADA;
T0061MAR2A;SacoMarzotto|MadeinItaly;Sastreria;Sacos;Vestir;ClassicFit;;100%Lana.Forro:100%Acetato;1599900;1599900;t0061mar2a;https://burgues.com/media/catalog/product/t/0/t0061mar2a-1.jpg;configurable;TEMPORADA;
T0061MAR10;SacoMarzotto|MadeinItaly;Sastreria;Sacos;Vestir;ClassicFit;;100%Lana.Forro:100%Acetato;1599900;1599900;t0061mar10;https://burgues.com/media/catalog/product/t/0/t0061mar10-1.jpg;configurable;TEMPORADA;
T0061MAR21;SacoMarzotto|MadeinItaly;Sastreria;Sacos;Vestir;ClassicFit;;100%Lana.Forro:100%Acetato;1599900;1599900;t0061mar21;https://burgues.com/media/catalog/product/t/0/t0061mar21-4.jpg;configurable;TEMPORADA;
T0081WAT10;CamperaWaters|OvejaPatagonica;Abrigos;Camperas;;Regular;;100%CuerodeOveja;1499900;1499900;t0081wat10;https://burgues.com/media/catalog/product/t/0/t0081wat10_0278.jpg;configurable;LINEA;
T0081MEN64;CamperaMenaggio|CuerodeCabraGamuzada;Abrigos;Camperas;Vestir;Regular;;100%CuerodeCabra;1499900;1499900;t0081men64;https://burgues.com/media/catalog/product/t/0/t0081men64_0244.jpg;configurable;TEMPORADA;
T0081JAK10;CamperaJake|CuerodeOveja;Abrigos;Camperas;;Regular;;100%CueroDeOveja;1499900;1499900;t0081jak10;https://burgues.com/media/catalog/product/t/0/t0081jak10_0553.jpg;configurable;TEMPORADA;
X0031AUS10;AmboAustralia;Sastreria;Sacos;;ClassicFit;;100%Lana;1499900;1499900;x0031aus10;https://burgues.com/media/catalog/product/x/0/x0031aus10_0047_1_.jpg;configurable;TEMPORADA;
X0031AUS21;AmboAustralia;Sastreria;Sacos;;ClassicFit;;100%Lana;1499900;1499900;x0031aus21;https://burgues.com/media/catalog/product/x/0/x0031aus21_0498.jpg;configurable;TEMPORADA;
X0031AUS15;AmboAustralia;Sastreria;Sacos;;ClassicFit;;100%Lana;1499900;1499900;x0031aus15;https://burgues.com/media/catalog/product/x/0/x0031aus15_0250_1_.jpg;configurable;TEMPORADA;
X0031SIL10;AmboSilk;Sastreria;Sacos;;SlimFit;;85%lana-15%Seda;1499900;1499900;x0031sil10;https://burgues.com/media/catalog/product/x/0/x0031sil10_0200.jpg;configurable;TEMPORADA;
X0031SIL21;AmboSilk;Sastreria;Sacos;;SlimFit;;85%lana-15%Seda;1499900;1499900;x0031sil21;https://burgues.com/media/catalog/product/x/0/x0031sil21_0542.jpg;configurable;TEMPORADA;
T0081NMA6E;CamperaNewMadison|CueroDeOveja;Abrigos;Camperas;Vestir;Regular;;100%CueroDeOveja.Forro:100%Acetato;1399900;1399900;t0081nma6e;https://burgues.com/media/catalog/product/t/0/t0081nma6e_0803.jpg;configurable;TEMPORADA;
T0081CRA10;CamperaCraig|CueroDeOveja;Abrigos;Camperas;Vestir;Regular;;100%CueroDeOveja.Forro:100%Acetato;1399900;1399900;t0081cra10;https://burgues.com/media/catalog/product/t/0/t0081cra10-1_1.jpg;configurable;TEMPORADA;
T0081HAR10;CamperaHarris|Cuerodeoveja;Abrigos;Camperas;Vestir;Regular;;100%CueroDeOveja.Forro:100%Acetato;1399900;1399900;t0081har10;https://burgues.com/media/catalog/product/t/0/t0081har10-1.jpg;configurable;TEMPORADA;
T0081HAR69;CamperaHarris|Cuerodeoveja;Abrigos;Camperas;Vestir;Regular;;100%CueroDeOveja.Forro:100%Acetato;1399900;1399900;t0081har69;https://burgues.com/media/catalog/product/t/0/t0081har69-1_1.jpg;configurable;TEMPORADA;
T0081NMA10;CamperaNewMadison|CueroDeOveja;Abrigos;Camperas;Vestir;Regular;;100%CueroDeOveja.Forro:100%Acetato;1399900;1399900;t0081nma10;https://burgues.com/media/catalog/product/t/0/t0081nma10-1_1.jpg;configurable;TEMPORADA;
T0081NMA60;CamperaNewMadison|CueroDeOveja;Abrigos;Camperas;Vestir;Regular;;100%CueroDeOveja.Forro:100%Acetato;1399900;1399900;t0081nma60;https://burgues.com/media/catalog/product/t/0/t0081nma60-1.jpg;configurable;TEMPORADA;
T0081VAR66;CamperaVarenna|CueroDeCabra;Abrigos;Camperas;Vestir;ClassicFit;;100%CuerodeCabra;1399900;1399900;t0081var66;https://burgues.com/media/catalog/product/t/0/t0081var66_0807.jpg;configurable;TEMPORADA;
T0081BLL10;CamperaBellano|CuerodeOveja;Abrigos;Camperas;;Regular;;100%CueroVacuno;1399900;1399900;t0081bll10;https://burgues.com/media/catalog/product/t/0/t0081bel10bellano_0595.jpg;configurable;TEMPORADA;
T0081BOR10;CamperaBoris|CueroDeOveja;Abrigos;Camperas;Vestir;Regular;;100%CueroDeOveja.Forro:100%Acetato;1399900;1399900;t0081bor10;https://burgues.com/media/catalog/product/t/0/t0081bor10_0183.jpg;configurable;TEMPORADA;
T0081JUN6M;CamperaJune|CueroDeCabra;Abrigos;Camperas;Vestir;Regular;;100%CueroDeCabra.Forro:100%Acetato;1199900;1199900;t0081jun6m;https://burgues.com/media/catalog/product/t/0/t0081jun6m-4.jpg;configurable;TEMPORADA;
T0081MRR10;SobrecamisaMirror|CuerodeCabra;Abrigos;Camisas;Vestir;ClassicFit;;100%CuerodeCabra;1199900;1199900;t0081mrr10;https://burgues.com/media/catalog/product/t/0/t0081mrr10_0429.jpg;configurable;TEMPORADA;
T0081MRR30;SobrecamisaMirror|CuerodeCabra;Abrigos;Camisas;Vestir;ClassicFit;;100%CuerodeCabra;1199900;1199900;t0081mrr30;https://burgues.com/media/catalog/product/t/0/t0081mir30_1282_2.jpg;configurable;TEMPORADA;
T0081MRR2A;SobrecamisaMirror|CuerodeCabra;Abrigos;Camisacos;;ClassicFit;;100%CuerodeCabra;1199900;1199900;t0081mrr2a;https://burgues.com/media/catalog/product/t/0/t0081mrr2a_0847.jpg;configurable;TEMPORADA;
T0081MRR6M;SobrecamisaMirror|CuerodeCabra;Abrigos;Camisacos;;ClassicFit;;100%CuerodeCabra;1199900;1199900;t0081mrr6m;https://burgues.com/media/catalog/product/t/0/t0081mrr62_13_.jpg;configurable;TEMPORADA;
T0065GALN4;TapadoGales|100%Lana;Abrigos;Tapados;Vestir;ClassicFit;;100%Lana;999900;999900;t0065galn4;https://burgues.com/media/catalog/product/t/0/t0065galn4_1725.jpg;configurable;LINEA;
T0061NUB21;SacoNub;Sastreria;Sacos;Vestir;SlimFit;;100%Lana;999900;999900;t0061nub21;https://burgues.com/media/catalog/product/t/0/t0061nub21-1.jpg;configurable;TEMPORADA;
T0061PAR62;SacoParma|LanaMerinoS120;Sastreria;Sacos;Vestir;SlimFit;;100%Lana;999900;999900;t0061par62;https://burgues.com/media/catalog/product/t/0/t0061par62_0455.jpg;configurable;TEMPORADA;
